Latitude,Longitude,SST
29.678,53.871,29.27
26.01,51.057,32.54
28.322,55.107,29.99
27.219,51.124,31.85
25.786,49.855,34.01
29.502,49.96,31.6
29.837,52.246,30.26
29.501,52.362,29.9
24.894,52.239,30.61
24.537,51.07,30.96
24.753,50.7,31.2
28.237,48.186,33.43
29.28,52.799,30.11
29.478,55.088,27.96
25.907,51.279,32.98
28.305,52.899,31.17
27.413,53.772,30.77
25.101,51.665,31.01
24.57,49.858,32.07
28.311,53.126,30.37
24.649,52.36,30.82
24.028,50.692,31.11
24.15,52.91,30.56
27.624,51.936,32.15
24.581,51.623,31.28
28.632,48.28,33.48
25.433,55.947,29.23
29.064,53.936,30.13
25.504,55.682,28.55
28.89,48.322,32.76
29.104,50.008,31.07
26.456,53.239,30.79
29.384,50.764,32.04
28.282,54.207,29.03
29.706,48.975,31.76
28.74,55.567,29.77
24.96,55.94,29.59
28.882,53.03,30.11
26.499,48.518,33.79
27.19,48.249,33.56
28.831,51.611,30.77
27.202,54.741,30.65
29.178,53.225,29.51
27.716,48.758,33.95
27.208,48.394,34.32
26.074,51.555,32.26
26.249,52.621,31.18
26.368,53.54,31.75
27.488,52.183,31.44
25.872,53.486,31.01
